true_label,predicted_prob,predicted_label
1,0.37936208,0
1,0.57685477,1
1,0.58928096,1
0,0.4837062,0
1,0.4298479,0
1,0.34318936,0
0,0.5448017,1
0,0.42985564,0
0,0.42995942,0
0,0.48323628,0
0,0.50167793,1
1,0.4793292,0
1,0.5496235,1
1,0.47026703,0
0,0.15505867,0
0,0.47208455,0
0,0.1673902,0
1,0.3714967,0
1,0.5509547,1
0,0.512147,1
0,0.45046932,0
1,0.4397087,0
0,0.3211328,0
0,0.492353,0
0,0.18443875,0
1,0.40354764,0
0,0.41657233,0
0,0.38458654,0
1,0.58850396,1
1,0.53931653,1
1,0.52398217,1
0,0.16542634,0
0,0.5106597,1
0,0.47832927,0
1,0.64867103,1
0,0.48333257,0
0,0.51157457,1
1,0.49368614,0
0,0.4978656,0
1,0.51902735,1
0,0.5185421,1
0,0.36814192,0
1,0.511731,1
1,0.496567,0
1,0.6568343,1
1,0.4400548,0
0,0.35992524,0
1,0.643327,1
0,0.6055559,1
0,0.49442917,0
1,0.67376,1
1,0.4348288,0
1,0.5645101,1
1,0.46565732,0
1,0.52026856,1
1,0.43647394,0
1,0.43521363,0
1,0.53090143,1
1,0.4366025,0
1,0.66374993,1
0,0.13140658,0
1,0.51041776,1
1,0.55431896,1
0,0.21205232,0
1,0.42572746,0
0,0.52608323,1
0,0.17631458,0
1,0.4317974,0
0,0.5399012,1
0,0.53272253,1
0,0.52849424,1
0,0.5037383,1
0,0.49864006,0
1,0.618074,1
